id,name_en,name_zh,category_id,cost,fling_power,fling_effect_id,description
1,master-ball,大师球,34,0,,,"必定能捉到野生宝可梦的，
性能最好的球。"
2,ultra-ball,高级球,34,800,,,"比起超级球来
更容易捉到宝可梦的，
性能非常不错的球。"
3,great-ball,超级球,34,600,,,"比起精灵球来
更容易捉到宝可梦的，
性能还算不错的球。"
4,poke-ball,精灵球,34,200,,,"用于投向野生宝可梦
并将其捕捉的球。
它是胶囊样式的。"
5,safari-ball,狩猎球,34,0,,,"曾在关都地区的狩猎地带
以及神奥地区的大湿地被使用。
是一种特殊的球。"
6,net-ball,捕网球,33,1000,,,"有点与众不同的球。
能很容易地捕捉
水属性和虫属性的宝可梦。"
7,dive-ball,潜水球,33,1000,,,"有点与众不同的球。
能很容易地捕捉
生活在水世界里的宝可梦。"
8,nest-ball,巢穴球,33,1000,,,"有点与众不同的球。
捕捉的野生宝可梦越弱，
就会越容易捕捉。"
9,repeat-ball,重复球,33,1000,,,"有点与众不同的球。
能很容易地捕捉
以前曾捉到过的宝可梦。"
10,timer-ball,计时球,33,1000,,,"有点与众不同的球。
回合数花费得越多，
宝可梦就会越容易捕捉。"
11,luxury-ball,豪华球,33,3000,,,"舒适宜居的球。
捉到的野生宝可梦会
变得非常容易和训练家亲密。"
12,premier-ball,纪念球,33,20,,,"有点珍贵的球。
特制出来的某种纪念品。"
13,dusk-ball,黑暗球,33,1000,,,"有点与众不同的球。
能很容易地在夜晚或洞窟等
阴暗的地方捕捉宝可梦。"
14,heal-ball,治愈球,33,300,,,"有点温柔的球。
能回复捉到的宝可梦的
ＨＰ并治愈异常状态。"
15,quick-ball,先机球,33,1000,,,"有点与众不同的球。
如果战斗开始后立刻使用，
就能很容易地捉到宝可梦。"
16,cherish-ball,贵重球,33,0,,,"相当珍贵的球。
特制出来的某种纪念品。"
17,potion,伤药,27,200,30.0,,"喷雾式伤药。
能让１只宝可梦
回复２０ＨＰ。"
18,antidote,解毒药,30,200,30.0,,"喷雾式药水。
能治愈１只宝可梦的
中毒状态。"
19,burn-heal,灼伤药,30,200,30.0,,"喷雾式药水。
能治愈１只宝可梦的
灼伤状态。"
20,ice-heal,解冻药,30,200,30.0,,"喷雾式药水。
能治愈１只宝可梦的
冰冻状态。"
21,awakening,解眠药,30,200,30.0,,"喷雾式药水。
能治愈１只宝可梦的
睡眠状态。"
22,paralyze-heal,解麻药,30,200,30.0,,"喷雾式药水。
能治愈１只宝可梦的
麻痹状态。"
23,full-restore,全复药,27,3000,30.0,,"能回复１只宝可梦的
所有ＨＰ并治愈所有异常状态。"
24,max-potion,全满药,27,2500,30.0,,"喷雾式伤药。
能让１只宝可梦
回复所有ＨＰ。"
25,hyper-potion,厉害伤药,27,1500,30.0,,"喷雾式伤药。
能让１只宝可梦
回复１２０ＨＰ。"
26,super-potion,好伤药,27,700,30.0,,"喷雾式伤药。
能让１只宝可梦
回复６０ＨＰ。"
27,full-heal,万灵药,30,400,30.0,,"喷雾式药水。
能治愈１只宝可梦的
所有异常状态。"
28,revive,活力碎片,29,2000,30.0,,"能让１只陷入濒死的
宝可梦重获生机，
并回复一半ＨＰ。"
29,max-revive,活力块,29,4000,30.0,,"能让１只陷入濒死的
宝可梦重获生机，
并回复所有ＨＰ。"
30,fresh-water,美味之水,27,200,30.0,,"富含矿物质的水。
能让１只宝可梦
回复３０ＨＰ。"
31,soda-pop,劲爽汽水,27,300,30.0,,"翻腾着气泡的汽水。
能让１只宝可梦
回复５０ＨＰ。"
32,lemonade,果汁牛奶,27,400,30.0,,"非常香甜的牛奶。
能让１只宝可梦
回复７０ＨＰ。"
33,moomoo-milk,哞哞鲜奶,27,600,30.0,,"营养百分百的牛奶。
能让１只宝可梦
回复１００ＨＰ。"
34,energy-powder,元气粉,27,500,30.0,,"非常苦的药粉。
能让１只宝可梦
回复６０ＨＰ。"
35,energy-root,元气根,27,1200,30.0,,"非常苦的根。
能让１只宝可梦
回复１２０ＨＰ。"
36,heal-powder,万能粉,30,300,30.0,,"非常苦的药粉。
能治愈１只宝可梦的
所有异常状态。"
37,revival-herb,复活草,29,2800,30.0,,"非常苦的药草。
能让１只濒死的宝可梦
回复所有ＨＰ。"
38,ether,ＰＰ单项小补剂,28,1200,30.0,,"能让宝可梦学会的
其中１个招式
回复１０ＰＰ。"
39,max-ether,ＰＰ单项全补剂,28,2000,30.0,,"能让宝可梦学会的
其中１个招式
回复所有ＰＰ。"
40,elixir,ＰＰ多项小补剂,28,3000,30.0,,"能让宝可梦学会的
４个招式各
回复１０ＰＰ。"
41,max-elixir,ＰＰ多项全补剂,28,4500,30.0,,"能让宝可梦学会的
４个招式
回复所有ＰＰ。"
42,lava-cookie,釜炎仙贝,30,350,30.0,,"釜炎特产的仙贝。
能治愈１只宝可梦的
所有异常状态。"
43,berry-juice,树果汁,27,200,30.0,,"１００％树果果汁。
能让１只宝可梦
回复２０ＨＰ。"
44,sacred-ash,圣灰,29,50000,30.0,,"能让陷入濒死的
全部宝可梦
回复所有ＨＰ。"
45,hp-up,ＨＰ增强剂,26,10000,30.0,,"宝可梦的营养饮料。
能提高１只宝可梦的
ＨＰ的基础点数。"
46,protein,攻击增强剂,26,10000,30.0,,"宝可梦的营养饮料。
能提高１只宝可梦的
攻击的基础点数。"
47,iron,防御增强剂,26,10000,30.0,,"宝可梦的营养饮料。
能提高１只宝可梦的
防御的基础点数。"
48,carbos,速度增强剂,26,10000,30.0,,"宝可梦的营养饮料。
能提高１只宝可梦的
速度的基础点数。"
49,calcium,特攻增强剂,26,10000,30.0,,"宝可梦的营养饮料。
能提高１只宝可梦的
特攻的基础点数。"
50,rare-candy,神奇糖果,26,10000,30.0,,"充满能量的糖果。
将它交给宝可梦后，
１只宝可梦的等级仅会提高１。"
51,pp-up,ＰＰ提升剂,26,10000,30.0,,"能让宝可梦学会的
其中１个招式的
ＰＰ最大值少量提高。"
52,zinc,特防增强剂,26,10000,30.0,,"宝可梦的营养饮料。
能提高１只宝可梦的
特防的基础点数。"
53,pp-max,ＰＰ极限提升剂,26,10000,30.0,,"能将宝可梦学会的
其中１个招式的
ＰＰ最大值提至最高。"
54,old-gateau,森之羊羹,30,350,30.0,,"百代不为人知的特产。
能治愈１只宝可梦的
所有异常状态。"
55,guard-spec,能力防守,1,1500,30.0,,"在战斗中，
５回合内不让我方
能力降低的道具。"
56,dire-hit,要害攻击,1,1000,30.0,,"击中要害的几率会大幅提高。
只能使用１次。
离场后，效果便会消失。"
57,x-attack,力量强化,1,1000,30.0,,"大幅提高战斗中
宝可梦攻击的道具。
离场后，效果便会消失。"
58,x-defense,防御强化,1,2000,30.0,,"大幅提高战斗中
宝可梦防御的道具。
离场后，效果便会消失。"
59,x-speed,速度强化,1,1000,30.0,,"大幅提高战斗中
宝可梦速度的道具。
离场后，效果便会消失。"
60,x-accuracy,命中强化,1,1000,30.0,,"大幅提高战斗中
宝可梦命中的道具。
离场后，效果便会消失。"
61,x-sp-atk,特攻强化,1,1000,30.0,,"大幅提高战斗中
宝可梦特攻的道具。
离场后，效果便会消失。"
62,x-sp-def,特防强化,1,2000,30.0,,"大幅提高战斗中
宝可梦特防的道具。
离场后，效果便会消失。"
63,poke-doll,皮皮玩偶,11,300,30.0,,"能吸引宝可梦注意的道具。
在和野生宝可梦的
战斗中绝对可以逃走。"
64,fluffy-tail,向尾喵的尾巴,11,100,30.0,,"能吸引宝可梦注意的道具。
在和野生宝可梦的
战斗中绝对可以逃走。"
65,blue-flute,蓝色玻璃哨,38,20,30.0,,"以蓝色玻璃制成的哨子。
可以治愈睡眠状态。"
66,yellow-flute,黄色玻璃哨,38,20,30.0,,"以黄色玻璃制成的哨子。
可以治愈混乱状态。"
67,red-flute,红色玻璃哨,38,20,30.0,,"以红色玻璃制成的哨子。
可以治愈着迷状态。"
68,black-flute,黑色玻璃哨,11,20,30.0,,"以黑色玻璃制成的哨子。
在使用的地方更容易
遇到强大的宝可梦。"
69,white-flute,白色玻璃哨,11,20,30.0,,"以白色玻璃制成的哨子。
在使用的地方更容易
遇到弱小的宝可梦。"
70,shoal-salt,浅滩海盐,9,20,30.0,,"在浅滩洞穴这地方
找到的海盐。"
71,shoal-shell,浅滩贝壳,9,20,30.0,,"在浅滩洞穴这地方
找到的贝壳。"
72,red-shard,红色碎片,9,1000,30.0,,"红色的小碎片。
好像是以前制作的
某道具的一部分。"
73,blue-shard,蓝色碎片,9,1000,30.0,,"蓝色的小碎片。
好像是以前制作的
某道具的一部分。"
74,yellow-shard,黄色碎片,9,1000,30.0,,"黄色的小碎片。
好像是以前制作的
某道具的一部分。"
75,green-shard,绿色碎片,9,1000,30.0,,"绿色的小碎片。
好像是以前制作的
某道具的一部分。"
76,super-repel,白银喷雾,11,700,30.0,,"弱小的野生宝可梦
将完全不会出现。
效果比除虫喷雾更持久。"
77,max-repel,黄金喷雾,11,900,30.0,,"弱小的野生宝可梦
将完全不会出现。
效果比白银喷雾更持久。"
78,escape-rope,离洞绳,11,300,30.0,,"结实的长绳。
可以从洞窟或迷宫中脱身。
能够反复使用。"
79,repel,除虫喷雾,11,400,30.0,,"使用后，在较短的一段时间内，
弱小的野生宝可梦将完全不会出现。"
80,sun-stone,日之石,10,3000,30.0,,"能让某些特定宝可梦
进化的神奇石头。
像太阳一样赤红。"
81,moon-stone,月之石,10,3000,30.0,,"能让某些特定宝可梦
进化的神奇石头。
像夜空一样乌黑。"
