id,trainer_id,location_id,encounter_rate
1,1,1,10
2,2,1,8
3,3,2,10
4,4,2,10
5,5,3,1
6,6,3,5
7,7,4,5
8,8,4,3
9,9,5,2
10,10,6,1
11,11,1,5
12,12,1,5
13,13,1,8
14,14,1,3
15,15,1,2
16,16,2,5
17,17,2,5
18,18,2,8
19,19,2,3
20,20,2,2
21,21,3,5
22,22,3,5
23,23,3,8
24,24,3,3
25,25,3,2
26,26,4,5
27,27,4,5
28,28,4,8
29,29,4,3
30,30,4,2
31,11,5,5
32,16,5,5
33,21,5,8
34,26,5,3
35,12,6,5
36,17,6,5
37,22,6,8
38,27,6,3
39,13,7,5
40,18,7,5
41,23,7,8
42,28,7,3
43,20,7,2
44,14,8,5
45,19,8,5
46,24,8,8
47,29,8,3
48,15,8,2
49,15,9,5
50,20,9,5
51,25,9,8
52,30,9,3
53,16,9,2
54,21,10,5
55,26,10,5
56,11,10,8
57,17,10,3
58,22,11,5
59,27,11,5
60,12,11,8
61,18,11,3
62,23,11,2
63,23,12,5
64,28,12,5
65,13,12,8
66,19,12,3
67,24,12,2
68,24,13,5
69,29,13,5
70,14,13,8
71,20,13,3
72,25,13,2
