"id",location_id,pokemon_species_id,encounter_rate,min_level,max_level
"1","1","1",20.0,5,8
"2","1","4",20.0,5,8
"3","1","7",20.0,5,8
"4","1","16",15.0,5,9
"5","1","19",18.0,5,10
"6","1","21",15.0,5,10
"7","1","23",12.0,6,11
"8","1","46",8.0,6,12
"9","1","48",10.0,6,12
"10","1","163",12.0,6,12
"11","1","177",8.0,7,13
"12","1","178",5.0,10,15
"13","1","193",8.0,6,12
"14","1","203",5.0,8,14
"15","1","228",8.0,10,16
"16","1","263",15.0,8,14
"17","1","265",20.0,5,9
"18","1","283",5.0,12,18
"19","1","309",8.0,10,16
"20","1","439",5.0,10,15
"21","2","10",30.0,3,6
"22","2","11",25.0,4,7
"23","2","12",8.0,7,12
"24","2","13",20.0,4,7
"25","2","14",15.0,5,9
"26","2","15",5.0,10,15
"27","2","16",25.0,5,9
"28","2","17",12.0,8,14
"29","2","18",8.0,10,16
"30","2","19",20.0,3,7
"31","2","29",15.0,5,10
"32","2","32",15.0,6,12
"33","2","41",20.0,4,9
"34","2","42",15.0,8,15
"35","2","46",15.0,5,10
"36","2","48",20.0,5,11
"37","2","69",25.0,3,8
"38","2","70",18.0,5,11
"39","2","71",12.0,7,14
"40","2","123",20.0,8,16
"41","3","92",25.0,15,20
"42","3","93",20.0,16,22
"43","3","94",8.0,20,28
"44","3","95",15.0,18,25
"45","3","200",8.0,20,28
"46","3","292",15.0,15,22
"47","3","353",20.0,18,26
"48","3","354",8.0,25,35
"49","3","355",15.0,20,30
"50","3","425",20.0,17,25
"51","3","426",15.0,20,30
"52","3","442",5.0,30,40
"53","3","708",8.0,25,35
"54","3","709",5.0,30,42
"55","3","806",2.0,45,55
"56","3","807",1.5,50,60
"57","3","97",12.0,18,28
"58","3","197",8.0,22,32
"59","3","234",10.0,20,30
"60","3","302",8.0,25,35
"61","4","54",20.0,10,15
"62","4","55",12.0,15,22
"63","4","72",20.0,8,14
"64","4","73",15.0,12,18
"65","4","90",15.0,10,16
"66","4","91",8.0,20,28
"67","4","116",25.0,8,14
"68","4","117",20.0,10,18
"69","4","118",25.0,8,15
"70","4","119",20.0,12,20
"71","4","120",15.0,15,22
"72","4","121",5.0,25,35
"73","4","131",8.0,30,40
"74","4","134",5.0,25,35
"75","4","147",15.0,15,25
"76","4","148",10.0,20,32
"77","4","222",18.0,18,28
"78","4","223",22.0,10,20
"79","4","224",12.0,20,30
"80","4","318",20.0,12,22
"81","5","74",20.0,20,25
"82","5","75",15.0,22,28
"83","5","76",10.0,25,32
"84","5","111",15.0,20,26
"85","5","112",5.0,30,35
"86","5","208",5.0,35,45
"87","5","218",20.0,22,30
"88","5","219",15.0,25,35
"89","5","240",18.0,24,32
"90","5","246",15.0,22,30
"91","5","247",12.0,25,35
"92","5","248",8.0,28,38
"93","5","322",20.0,24,32
"94","5","323",10.0,30,40
"95","5","324",12.0,26,36
"96","5","339",8.0,28,38
"97","5","340",15.0,25,35
"98","5","408",10.0,28,38
"99","5","409",5.0,30,42
"100","5","444",3.0,40,50
"101","6","144",0.8,58,68
"102","6","145",0.8,58,68
"103","6","146",0.8,58,68
"104","6","150",0.5,60,70
"105","6","149",1.0,55,65
"106","6","143",1.2,50,60
"107","6","151",0.3,65,75
"108","6","249",0.4,60,70
"109","6","250",0.4,60,70
"110","6","377",0.5,65,75
"111","6","378",0.5,65,75
"112","6","379",0.5,65,75
"113","6","380",0.3,65,75
"114","6","381",0.3,65,75
"115","6","382",0.2,70,80
"116","6","383",0.2,70,80
"117","6","384",0.1,75,85
"118","6","480",0.4,60,70
"119","6","481",0.4,60,70
"120","6","482",0.4,60,70
"121","7","54",15.0,5,10
"122","7","55",8.0,15,20
"123","7","72",15.0,6,12
"124","7","73",10.0,12,18
"125","7","90",20.0,8,14
"126","7","91",5.0,22,32
"127","7","120",10.0,15,20
"128","7","129",25.0,5,10
"129","7","130",5.0,30,40
"130","7","131",3.0,35,45
"131","7","170",20.0,10,18
"132","7","171",12.0,15,25
"133","7","211",10.0,18,28
"134","7","222",15.0,15,25
"135","7","223",25.0,8,16
"136","7","224",10.0,18,28
"137","7","318",20.0,12,22
"138","7","319",12.0,18,28
"139","7","320",15.0,15,25
"140","7","349",20.0,10,20
"141","8","66",20.0,10,15
"142","8","67",15.0,15,20
"143","8","68",8.0,20,25
"144","8","74",15.0,12,18
"145","8","75",12.0,15,22
"146","8","76",8.0,18,28
"147","8","95",25.0,15,22
"148","8","104",20.0,12,20
"149","8","105",12.0,18,28
"150","8","111",18.0,15,24
"151","8","112",8.0,25,35
"152","8","208",8.0,25,35
"153","8","213",15.0,20,30
"154","8","218",18.0,18,28
"155","8","219",12.0,22,32
"156","8","246",15.0,18,28
"157","8","247",10.0,22,32
"158","8","248",6.0,25,35
"159","8","304",12.0,22,32
"160","8","305",8.0,25,35
"161","9","133",8.0,10,18
"162","9","134",5.0,15,25
"163","9","135",5.0,15,25
"164","9","136",5.0,15,25
"165","9","137",10.0,15,25
"166","9","147",8.0,15,25
"167","9","148",6.0,20,32
"168","9","149",3.0,35,45
"169","9","179",15.0,20,30
"170","9","180",10.0,25,35
"171","9","181",5.0,30,42
"172","9","196",8.0,20,32
"173","9","197",6.0,22,34
"174","9","203",10.0,20,32
"175","9","214",15.0,25,35
"176","9","233",8.0,25,38
"177","9","255",12.0,18,28
"178","9","256",8.0,25,35
"179","9","257",5.0,30,42
"180","9","289",2.0,40,52
"181","10","37",20.0,15,25
"182","10","38",8.0,25,35
"183","10","58",15.0,20,30
"184","10","59",5.0,35,45
"185","10","55",10.0,25,35
"186","10","77",20.0,18,28
"187","10","78",12.0,25,35
"188","10","126",8.0,25,35
"189","10","136",8.0,25,35
"190","10","155",18.0,18,28
"191","10","156",12.0,25,35
"192","10","157",6.0,30,42
"193","10","218",15.0,22,32
"194","10","240",10.0,25,35
"195","10","250",3.0,45,55
"196","10","324",10.0,26,38
"197","10","390",15.0,20,32
"198","10","391",10.0,25,38
"199","10","392",6.0,30,42
"200","10","467",3.0,40,52
"201","11","39",20.0,10,18
"202","11","40",15.0,12,22
"203","11","41",20.0,12,20
"204","11","42",15.0,15,25
"205","11","32",15.0,18,28
"206","11","33",12.0,20,32
"207","11","34",5.0,25,38
"208","11","46",15.0,12,22
"209","11","48",18.0,12,24
"210","11","60",20.0,8,16
"211","11","61",15.0,12,22
"212","11","62",10.0,18,28
