"id",name_en,name_zh,"generation_id","base_hp","base_attack","base_defense","base_sp_attack","base_sp_defense","base_speed","height","weight","base_experience","gender_rate","capture_rate","growth_rate_id","description","order"
"1","bulbasaur","妙蛙种子","1","45","49","49","65","65","45","0.7","6.9","64","1","45","4","在出生后的一段时间内，
它会吸收背上种子里
储存着的营养成长。","1"
"2","ivysaur","妙蛙草","1","60","62","63","80","80","60","1.0","13.0","142","1","45","4","沐浴在阳光下越久，
身体内会涌出越多力量，
背上的花苞也会渐渐成长。","2"
"3","venusaur","妙蛙花","1","80","82","83","100","100","80","2.0","100.0","236","1","45","4","花朵散发出的迷人香味
能安抚激动的心情，
甚至消弭斗争。","3"
"4","charmander","小火龙","1","39","52","43","60","50","65","0.6","8.5","62","1","45","4","生下来的时候，
尾巴上就有火焰在燃烧。
火焰熄灭时，它的生命也会结束。","4"
"5","charmeleon","火恐龙","1","58","64","58","80","65","80","1.1","19.0","142","1","45","4","如果它在战斗中亢奋起来，
就会喷出灼热的火焰，
把周围的东西烧得一干二净。","5"
"6","charizard","喷火龙","1","78","84","78","109","85","100","1.7","90.5","240","1","45","4","能用翅膀飞到距地面
１４００米的高度。
会吐出高温火焰。","6"
"7","squirtle","杰尼龟","1","44","48","65","50","64","43","0.5","9.0","63","1","45","4","当它遇到危险的时候，
会将四肢收回龟壳里保护自己，
同时从嘴里喷出水来。","7"
"8","wartortle","卡咪龟","1","59","63","80","65","80","58","1.0","22.5","142","1","45","4","会灵巧地摆动自己
毛茸茸的耳朵和尾巴，
借此在水中保持平衡。","8"
"9","blastoise","水箭龟","1","79","83","100","85","105","78","1.6","85.5","239","1","45","4","从龟壳上的大炮里
放出的喷射水流
足以贯穿厚实的铁板。","9"
"10","caterpie","绿毛虫","1","45","30","35","20","20","45","0.3","2.9","39","4","255","2","别看它的脚很短，
因为是吸盘，所以无论是
斜坡还是墙壁都能轻松前进。","10"
"11","metapod","铁甲蛹","1","50","20","55","25","25","30","0.7","9.9","72","4","120","2","虽然有坚硬的外壳，
因为壳里的身体很软，
所以无法抵抗强力的攻击。","11"
"12","butterfree","巴大蝶","1","60","45","50","90","80","70","1.1","32.0","178","4","45","2","每天都忙着采集花蜜。
习惯往腿部的细毛上涂满花蜜，
然后带回巢穴里。","12"
"13","weedle","独角虫","1","40","35","30","20","20","50","0.3","3.2","39","4","255","2","头上长有尖锐的针。
它喜欢藏在森林或
草丛里大量吞食树叶。","13"
"14","kakuna","铁壳蛹","1","45","25","50","25","25","35","0.6","10.0","72","4","120","2","虽然几乎动也动不了，
但是如果遇到了危险，
有时似乎会竖起毒刺来反抗。","14"
"15","beedrill","大针蜂","1","65","90","40","45","80","75","1.0","29.5","178","4","45","2","它会用双手和
尾部的３根毒针
反复刺伤敌人。","15"
"16","pidgey","波波","1","40","45","40","35","35","56","0.3","1.8","50","4","255","4","性格沉着冷静，即使受到
攻击也很少反击，只会朝
对手扬起沙子保护自己。","16"
"17","pidgeotto","比比鸟","1","63","60","55","50","50","71","1.1","30.0","122","4","120","4","拥有超群的体力，而且
飞翔范围广，经常飞到
很远的地方寻找食物。","17"
"18","pidgeot","大比鸟","1","83","80","75","70","70","101","1.5","39.5","216","4","45","4","以２马赫的飞行速度来
觅食。它巨大的爪子是
非常令人惧怕的武器。","18"
"19","rattata","小拉达","1","30","56","35","25","35","72","0.3","3.5","51","4","255","2","有两颗大门牙，见什么咬什么。
只要看到１只小拉达出没，
附近肯定还住着40只以上。","19"
"20","raticate","拉达","1","55","81","60","50","70","97","0.7","18.5","145","4","127","2","它的后脚上长着
小蹼，以便它在
水中游泳寻找食物。","20"
"21","spearow","烈雀","1","40","60","30","31","31","70","0.3","2.0","52","4","255","2","不擅长高空飞行。
会以超高速在地盘里四处盘旋，
以保护自己的地盘不被侵犯。","21"
"22","fearow","大嘴雀","1","65","90","65","61","61","100","1.2","38.0","155","4","90","2","很久以前就存在的宝可梦。
哪怕只察觉到一丝危险，
都会立即飞向高空。","22"
"23","ekans","阿柏蛇","1","35","60","44","40","54","55","2.0","6.9","58","4","255","2","身体会随着年龄增长不断变长。
每到夜里，它会一圈圈地
将身体缠绕在树枝上休息。","23"
"24","arbok","阿柏怪","1","60","95","69","65","79","80","3.5","65.0","157","4","90","2","根据研究证实，它腹部
那可怕的纹路大约有
６个种类已经得到确认。","24"
"25","pikachu","皮卡丘","1","35","55","40","50","50","90","0.4","6.0","112","4","190","2","皮卡丘们把尾巴
贴在一起交换电流，
其实是在互相打招呼。","25"
"26","raichu","雷丘","1","60","90","55","90","80","110","0.8","30.0","218","4","75","2","如果电囊空了，
它就会直直地竖起尾巴，
收集空气中的电流。","26"
"27","sandshrew","穿山鼠","1","50","75","85","20","30","40","0.6","12.0","60","4","255","2","会在地上挖洞建造巢穴。
挖洞时，即便遇到地里的坚硬岩石，
也能用尖锐的爪子弄碎后继续挖进。","27"
"28","sandslash","穿山王","1","75","100","110","45","55","65","1.0","29.5","158","4","90","2","会将锐利的爪子钩在树上爬树。
这是为了设法使树果掉落，
分给等在树下的穿山鼠们。","28"
"29","nidoran-f","尼多兰","1","55","47","52","40","40","41","0.4","7.0","55","8","235","4","用坚硬的门牙咬碎
树果吃。和雄性相比，
角的尖端稍圆一些。","29"
"30","nidorina","尼多娜","1","70","62","67","55","55","56","0.8","20.0","128","8","120","4","如果族群遇到了危险，
会和伙伴们团结起来，
施展出超音波大合唱。","30"
"31","nidoqueen","尼多后","1","90","92","87","75","85","76","1.3","60.0","227","8","45","4","把孩子放在背上刺与刺的
空隙里来哄它们。在这时
绝对不会释放毒素。","31"
"32","nidoran-m","尼多朗","1","46","57","40","40","40","50","0.5","9.0","55","0","235","4","身材虽小，却性格勇敢。
为了保护相好的雌性，
会不顾生命果敢地战斗。","32"
